	Year	Series	Value
Central America	2005	"Percentage of male and female intentional homicide victims, Female"	3.5189
Central America	2010	"Intentional homicide rates per 100,000"	27.8194
Central America	2010	"Percentage of male and female intentional homicide victims, Male"	49.692
Central America	2010	"Percentage of male and female intentional homicide victims, Female"	5.2556
Central America	2017	"Intentional homicide rates per 100,000"	26.5143
Central America	2017	"Percentage of male and female intentional homicide victims, Male"	46.5216
Central America	2017	"Percentage of male and female intentional homicide victims, Female"	5.6231
South America	2005	"Intentional homicide rates per 100,000"	21.5369
South America	2005	"Percentage of male and female intentional homicide victims, Male"	39.9915
South America	2005	"Percentage of male and female intentional homicide victims, Female"	3.574
South America	2010	"Intentional homicide rates per 100,000"	20.7949
South America	2010	"Percentage of male and female intentional homicide victims, Male"	38.3435
South America	2010	"Percentage of male and female intentional homicide victims, Female"	3.5726
South America	2017	"Intentional homicide rates per 100,000"	23.647
South America	2017	"Percentage of male and female intentional homicide victims, Male"	44.8929
South America	2017	"Percentage of male and female intentional homicide victims, Female"	4.0167
Asia	2005	"Intentional homicide rates per 100,000"	2.9153
Asia	2005	"Percentage of male and female intentional homicide victims, Male"	4.111
Asia	2005	"Percentage of male and female intentional homicide victims, Female"	1.6626
Asia	2010	"Intentional homicide rates per 100,000"	2.6766
Asia	2010	"Percentage of male and female intentional homicide victims, Male"	3.6243
Asia	2010	"Percentage of male and female intentional homicide victims, Female"	1.6822
Asia	2017	"Intentional homicide rates per 100,000"	2.1186
Asia	2017	"Percentage of male and female intentional homicide victims, Male"	2.8008
Asia	2017	"Percentage of male and female intentional homicide victims, Female"	1.4041
Central Asia	2005	"Intentional homicide rates per 100,000"	6.4578
Central Asia	2005	"Percentage of male and female intentional homicide victims, Male"	10.1702
Central Asia	2005	"Percentage of male and female intentional homicide victims, Female"	2.7846
Central Asia	2010	"Intentional homicide rates per 100,000"	5.5737
Central Asia	2010	"Percentage of male and female intentional homicide victims, Male"	8.6869
Central Asia	2010	"Percentage of male and female intentional homicide victims, Female"	2.7495
Central Asia	2017	"Intentional homicide rates per 100,000"	2.7503
Central Asia	2017	"Percentage of male and female intentional homicide victims, Male"	5.7951
Central Asia	2017	"Percentage of male and female intentional homicide victims, Female"	1.6709
Eastern Asia	2005	"Intentional homicide rates per 100,000"	1.4588
Eastern Asia	2005	"Percentage of male and female intentional homicide victims, Male"	1.629
Eastern Asia	2005	"Percentage of male and female intentional homicide victims, Female"	1.2987
Eastern Asia	2010	"Intentional homicide rates per 100,000"	0.9375
Eastern Asia	2010	"Percentage of male and female intentional homicide victims, Male"	0.975
Eastern Asia	2010	"Percentage of male and female intentional homicide victims, Female"	0.9092
Eastern Asia	2017	"Intentional homicide rates per 100,000"	0.5508
Eastern Asia	2017	"Percentage of male and female intentional homicide victims, Male"	0.561
Eastern Asia	2017	"Percentage of male and female intentional homicide victims, Female"	0.5573
South-eastern Asia	2005	"Intentional homicide rates per 100,000"	2.8062
South-eastern Asia	2005	"Percentage of male and female intentional homicide victims, Male"	4.7643
South-eastern Asia	2005	"Percentage of male and female intentional homicide victims, Female"	0.8553
South-eastern Asia	2010	"Intentional homicide rates per 100,000"	2.7804
South-eastern Asia	2010	"Percentage of male and female intentional homicide victims, Male"	4.7868
South-eastern Asia	2010	"Percentage of male and female intentional homicide victims, Female"	0.7724
South-eastern Asia	2017	"Intentional homicide rates per 100,000"	2.4041
South-eastern Asia	2017	"Percentage of male and female intentional homicide victims, Male"	4.3901
South-eastern Asia	2017	"Percentage of male and female intentional homicide victims, Female"	0.7069
Southern Asia	2005	"Intentional homicide rates per 100,000"	4.0033
Southern Asia	2005	"Percentage of male and female intentional homicide victims, Male"	5.2406
Southern Asia	2005	"Percentage of male and female intentional homicide victims, Female"	2.7105
Southern Asia	2010	"Intentional homicide rates per 100,000"	3.9923
Southern Asia	2010	"Percentage of male and female intentional homicide victims, Male"	4.8901
Southern Asia	2010	"Percentage of male and female intentional homicide victims, Female"	3.0716
Southern Asia	2017	"Intentional homicide rates per 100,000"	3.1627
Southern Asia	2017	"Percentage of male and female intentional homicide victims, Male"	4.1186
Southern Asia	2017	"Percentage of male and female intentional homicide victims, Female"	2.7935
Western Asia	2005	"Intentional homicide rates per 100,000"	4.707
Western Asia	2005	"Percentage of male and female intentional homicide victims, Male"	7.2838
Western Asia	2005	"Percentage of male and female intentional homicide victims, Female"	1.9024
Western Asia	2010	"Intentional homicide rates per 100,000"	3.7595
Western Asia	2010	"Percentage of male and female intentional homicide victims, Male"	5.8103
Western Asia	2010	"Percentage of male and female intentional homicide victims, Female"	1.5272
Western Asia	2017	"Intentional homicide rates per 100,000"	3.5384
Western Asia	2017	"Percentage of male and female intentional homicide victims, Male"	6.1631
Western Asia	2017	"Percentage of male and female intentional homicide victims, Female"	1.6247
Europe	2005	"Intentional homicide rates per 100,000"	6.5014
Europe	2005	"Percentage of male and female intentional homicide victims, Male"	9.866
Europe	2005	"Percentage of male and female intentional homicide victims, Female"	3.3744
Europe	2010	"Intentional homicide rates per 100,000"	3.4887
Europe	2010	"Percentage of male and female intentional homicide victims, Male"	5.1291
Europe	2010	"Percentage of male and female intentional homicide victims, Female"	1.9645
Europe	2017	"Intentional homicide rates per 100,000"	2.9589
Europe	2017	"Percentage of male and female intentional homicide victims, Male"	4.4357
Europe	2017	"Percentage of male and female intentional homicide victims, Female"	1.5821
Eastern Europe	2005	"Intentional homicide rates per 100,000"	13.8954
Eastern Europe	2005	"Percentage of male and female intentional homicide victims, Male"	21.8797
Eastern Europe	2005	"Percentage of male and female intentional homicide victims, Female"	6.7888
Eastern Europe	2010	"Intentional homicide rates per 100,000"	6.9403
Eastern Europe	2010	"Percentage of male and female intentional homicide victims, Male"	13.5315
Eastern Europe	2010	"Percentage of male and female intentional homicide victims, Female"	4.2091
Eastern Europe	2017	"Intentional homicide rates per 100,000"	5.937
Eastern Europe	2017	"Percentage of male and female intentional homicide victims, Male"	9.1715
Eastern Europe	2017	"Percentage of male and female intentional homicide victims, Female"	3.118
Northern Europe	2005	"Intentional homicide rates per 100,000"	1.86
Northern Europe	2005	"Percentage of male and female intentional homicide victims, Male"	2.495
Northern Europe	2005	"Percentage of male and female intentional homicide victims, Female"	1.2484
Northern Europe	2010	"Intentional homicide rates per 100,000"	1.4494
Northern Europe	2010	"Percentage of male and female intentional homicide victims, Male"	1.9006
Northern Europe	2010	"Percentage of male and female intentional homicide victims, Female"	1.0164
Northern Europe	2017	"Intentional homicide rates per 100,000"	1.3076
Northern Europe	2017	"Percentage of male and female intentional homicide victims, Male"	1.608
Northern Europe	2017	"Percentage of male and female intentional homicide victims, Female"	0.8886
Southern Europe	2005	"Intentional homicide rates per 100,000"	1.3332
Southern Europe	2005	"Percentage of male and female intentional homicide victims, Male"	2.0385
Southern Europe	2005	"Percentage of male and female intentional homicide victims, Female"	0.6435
Southern Europe	2010	"Intentional homicide rates per 100,000"	1.1558
Southern Europe	2010	"Percentage of male and female intentional homicide victims, Male"	1.6374
Southern Europe	2010	"Percentage of male and female intentional homicide victims, Female"	0.6803
Southern Europe	2017	"Intentional homicide rates per 100,000"	0.7778
Southern Europe	2017	"Percentage of male and female intentional homicide victims, Male"	1.1212
Southern Europe	2017	"Percentage of male and female intentional homicide victims, Female"	0.5403
Western Europe	2005	"Intentional homicide rates per 100,000"	1.2777
Western Europe	2005	"Percentage of male and female intentional homicide victims, Male"	1.5342
Western Europe	2005	"Percentage of male and female intentional homicide victims, Female"	1.0284
Western Europe	2010	"Intentional homicide rates per 100,000"	1.086
Western Europe	2010	"Percentage of male and female intentional homicide victims, Male"	1.2561
Western Europe	2010	"Percentage of male and female intentional homicide victims, Female"	0.9191
Western Europe	2017	"Intentional homicide rates per 100,000"	1.0728
Western Europe	2017	"Percentage of male and female intentional homicide victims, Male"	1.2169
Western Europe	2017	"Percentage of male and female intentional homicide victims, Female"	0.8499
Oceania	2005	"Intentional homicide rates per 100,000"	3.0863
Oceania	2005	"Percentage of male and female intentional homicide victims, Male"	3.8722
Oceania	2005	"Percentage of male and female intentional homicide victims, Female"	2.2946
Oceania	2010	"Intentional homicide rates per 100,000"	2.9599
Oceania	2010	"Percentage of male and female intentional homicide victims, Male"	3.4837
Oceania	2010	"Percentage of male and female intentional homicide victims, Female"	2.4309
Oceania	2017	"Intentional homicide rates per 100,000"	2.7837
Oceania	2017	"Percentage of male and female intentional homicide victims, Male"	3.7855
Oceania	2017	"Percentage of male and female intentional homicide victims, Female"	1.7759
Australia and New Zealand	2005	"Intentional homicide rates per 100,000"	1.3161
Australia and New Zealand	2005	"Percentage of male and female intentional homicide victims, Male"	1.6402
Australia and New Zealand	2005	"Percentage of male and female intentional homicide victims, Female"	0.9888
Australia and New Zealand	2010	"Intentional homicide rates per 100,000"	1.033
Australia and New Zealand	2010	"Percentage of male and female intentional homicide victims, Male"	1.195
Australia and New Zealand	2010	"Percentage of male and female intentional homicide victims, Female"	0.8746
Australia and New Zealand	2017	"Intentional homicide rates per 100,000"	0.8127
Australia and New Zealand	2017	"Percentage of male and female intentional homicide victims, Male"	1.1906
Australia and New Zealand	2017	"Percentage of male and female intentional homicide victims, Female"	0.5254
Afghanistan	2010	"Intentional homicide rates per 100,000"	3.3681
Afghanistan	2017	"Intentional homicide rates per 100,000"	6.6784
Afghanistan	2017	"Percentage of male and female intentional homicide victims, Male"	12.2829
Afghanistan	2017	"Percentage of male and female intentional homicide victims, Female"	0.7538
Albania	2005	"Intentional homicide rates per 100,000"	4.989
Albania	2005	"Percentage of male and female intentional homicide victims, Male"	8.5697
Albania	2005	"Percentage of male and female intentional homicide victims, Female"	1.3682
Albania	2005	"Assault rate per 100,000 population"	5.34
Albania	2005	"Theft at the national level, rate per 100,000 population"	96.73
Albania	2005	"Total Sexual Violence at the national level, rate per 100,000"	2.883
Albania	2010	"Intentional homicide rates per 100,000"	4.308
Albania	2010	"Percentage of male and female intentional homicide victims, Male"	7.2724
Albania	2010	"Percentage of male and female intentional homicide victims, Female"	1.2987
Albania	2010	"Assault rate per 100,000 population"	6.04
Albania	2010	"Kidnapping at the national level, rate per 100,000"	0.305
Albania	2010	"Theft at the national level, rate per 100,000 population"	134.94
Albania	2010	"Robbery at the national level, rate per 100,000 population"	8.005
Albania	2010	"Total Sexual Violence at the national level, rate per 100,000"	2.68
Albania	2016	"Intentional homicide rates per 100,000"	2.7369
Albania	2016	"Percentage of male and female intentional homicide victims, Male"	4.2161
Albania	2016	"Percentage of male and female intentional homicide victims, Female"	1.2007
Albania	2016	"Assault rate per 100,000 population"	4.09
Albania	2016	"Kidnapping at the national level, rate per 100,000"	0.139
Albania	2016	"Theft at the national level, rate per 100,000 population"	195.18
Albania	2016	"Robbery at the national level, rate per 100,000 population"	5.509
Albania	2016	"Total Sexual Violence at the national level, rate per 100,000"	4.158
Albania	2017	"Intentional homicide rates per 100,000"	2.011
Albania	2017	"Percentage of male and female intentional homicide victims, Male"	3.0621
Albania	2017	"Percentage of male and female intentional homicide victims, Female"	0.919
Albania	2017	"Assault rate per 100,000 population"	4.33
Albania	2017	"Kidnapping at the national level, rate per 100,000"	0.069
Albania	2017	"Robbery at the national level, rate per 100,000 population"	6.38
Albania	2017	"Total Sexual Violence at the national level, rate per 100,000"	3.918
Algeria	2005	"Intentional homicide rates per 100,000"	0.6154
Algeria	2005	"Assault rate per 100,000 population"	99.31
Algeria	2005	"Kidnapping at the national level, rate per 100,000"	0.305
Algeria	2010	"Intentional homicide rates per 100,000"	0.706
Algeria	2010	"Assault rate per 100,000 population"	115.02
Algeria	2010	"Kidnapping at the national level, rate per 100,000"	0.492
Algeria	2010	"Theft at the national level, rate per 100,000 population"	141.94
Algeria	2010	"Robbery at the national level, rate per 100,000 population"	51.394
Algeria	2010	"Total Sexual Violence at the national level, rate per 100,000"	10.548
Algeria	2015	"Intentional homicide rates per 100,000"	1.3643
Algeria	2015	"Percentage of male and female intentional homicide victims, Male"	2.3375
Algeria	2015	"Percentage of male and female intentional homicide victims, Female"	0.3712
Algeria	2015	"Assault rate per 100,000 population"	123.57
Algeria	2015	"Kidnapping at the national level, rate per 100,000"	1.301
Algeria	2015	"Theft at the national level, rate per 100,000 population"	124.78
Algeria	2015	"Robbery at the national level, rate per 100,000 population"	65.5
Algeria	2015	"Total Sexual Violence at the national level, rate per 100,000"	8.458
American Samoa	2005	"Intentional homicide rates per 100,000"	10.0744
American Samoa	2010	"Intentional homicide rates per 100,000"	8.9152
American Samoa	2016	"Intentional homicide rates per 100,000"	5.3822
Andorra	2004	"Intentional homicide rates per 100,000"	1.3116
Andorra	2010	"Intentional homicide rates per 100,000"	0
Andorra	2010	"Percentage of male and female intentional homicide victims, Male"	0
Andorra	2010	"Percentage of male and female intentional homicide victims, Female"	0
Andorra	2010	"Assault rate per 100,000 population"	116.67
Andorra	2010	"Kidnapping at the national level, rate per 100,000"	0
Andorra	2010	"Theft at the national level, rate per 100,000 population"	1329.76
Andorra	2010	"Robbery at the national level, rate per 100,000 population"	9.524
Andorra	2010	"Total Sexual Violence at the national level, rate per 100,000"	11.905
Andorra	2015	"Intentional homicide rates per 100,000"	0
Andorra	2015	"Percentage of male and female intentional homicide victims, Male"	0
Andorra	2015	"Percentage of male and female intentional homicide victims, Female"	0
Andorra	2015	"Assault rate per 100,000 population"	170.51
Andorra	2015	"Kidnapping at the national level, rate per 100,000"	0
Andorra	2015	"Theft at the national level, rate per 100,000 population"	1341.03
Andorra	2015	"Robbery at the national level, rate per 100,000 population"	10.256
Andorra	2015	"Total Sexual Violence at the national level, rate per 100,000"	14.103
Angola	2012	"Intentional homicide rates per 100,000"	4.8471
Anguilla	2000	"Intentional homicide rates per 100,000"	8.8913
Anguilla	2000	"Percentage of male and female intentional homicide victims, Female"	0
Anguilla	2005	"Intentional homicide rates per 100,000"	0
Anguilla	2009	"Intentional homicide rates per 100,000"	7.5483
Anguilla	2009	"Percentage of male and female intentional homicide victims, Female"	0
Anguilla	2010	"Intentional homicide rates per 100,000"	0
Anguilla	2013	"Intentional homicide rates per 100,000"	7.1674
Anguilla	2013	"Percentage of male and female intentional homicide victims, Female"	0
Anguilla	2014	"Intentional homicide rates per 100,000"	28.3407
Antigua and Barbuda	2002	"Intentional homicide rates per 100,000"	6.3859
Antigua and Barbuda	2002	"Percentage of male and female intentional homicide victims, Male"	10.1753
Antigua and Barbuda	2002	"Percentage of male and female intentional homicide victims, Female"	3.0161
Antigua and Barbuda	2005	"Intentional homicide rates per 100,000"	3.6827
Antigua and Barbuda	2008	"Intentional homicide rates per 100,000"	18.7367
Antigua and Barbuda	2008	"Percentage of male and female intentional homicide victims, Male"	27.0065
Antigua and Barbuda	2008	"Percentage of male and female intentional homicide victims, Female"	11.1949
Antigua and Barbuda	2010	"Intentional homicide rates per 100,000"	6.8159
Antigua and Barbuda	2012	"Intentional homicide rates per 100,000"	11.0611
Antigua and Barbuda	2017	"Kidnapping at the national level, rate per 100,000"	14.671
Argentina	2005	"Intentional homicide rates per 100,000"	5.6514
Argentina	2005	"Assault rate per 100,000 population"	365.36
Argentina	2005	"Theft at the national level, rate per 100,000 population"	780.78
Argentina	2008	"Intentional homicide rates per 100,000"	5.9156
Argentina	2008	"Assault rate per 100,000 population"	362.38
Argentina	2008	"Theft at the national level, rate per 100,000 population"	709.09
Argentina	2008	"Total Sexual Violence at the national level, rate per 100,000"	26.457
Argentina	2010	"Intentional homicide rates per 100,000"	5.8295
Argentina	2016	"Intentional homicide rates per 100,000"	6.0333
Argentina	2016	"Assault rate per 100,000 population"	328.64
Argentina	2016	"Theft at the national level, rate per 100,000 population"	620.86
Argentina	2016	"Robbery at the national level, rate per 100,000 population"	1004.59
Argentina	2016	"Total Sexual Violence at the national level, rate per 100,000"	28.556
Argentina	2017	"Intentional homicide rates per 100,000"	5.2097
Argentina	2017	"Percentage of male and female intentional homicide victims, Male"	8.8143
Argentina	2017	"Percentage of male and female intentional homicide victims, Female"	1.7808
Argentina	2017	"Assault rate per 100,000 population"	323.46
Argentina	2017	"Robbery at the national level, rate per 100,000 population"	922.596
Argentina	2017	"Total Sexual Violence at the national level, rate per 100,000"	32.378
Armenia	2005	"Intentional homicide rates per 100,000"	1.9455
Armenia	2005	"Percentage of male and female intentional homicide victims, Male"	3.3527
Armenia	2005	"Percentage of male and female intentional homicide victims, Female"	0.6965
Armenia	2005	"Assault rate per 100,000 population"	6.04
Armenia	2005	"Kidnapping at the national level, rate per 100,000"	0.738
Armenia	2005	"Theft at the national level, rate per 100,000 population"	82.62
Armenia	2005	"Total Sexual Violence at the national level, rate per 100,000"	1.711
Armenia	2010	"Intentional homicide rates per 100,000"	1.9463
Armenia	2010	"Percentage of male and female intentional homicide victims, Male"	3.4166
Armenia	2010	"Percentage of male and female intentional homicide victims, Female"	0.6532
Armenia	2010	"Assault rate per 100,000 population"	5.39
Armenia	2010	"Kidnapping at the national level, rate per 100,000"	1.355
Armenia	2010	"Theft at the national level, rate per 100,000 population"	127.35
Armenia	2010	"Robbery at the national level, rate per 100,000 population"	12.374
Armenia	2010	"Total Sexual Violence at the national level, rate per 100,000"	2.85
Armenia	2016	"Intentional homicide rates per 100,000"	2.9631
Armenia	2016	"Percentage of male and female intentional homicide victims, Male"	5.1411
Armenia	2016	"Percentage of male and female intentional homicide victims, Female"	1.0289
Armenia	2016	"Assault rate per 100,000 population"	6.34
Armenia	2016	"Kidnapping at the national level, rate per 100,000"	1.737
Armenia	2016	"Theft at the national level, rate per 100,000 population"	193.36
Armenia	2016	"Robbery at the national level, rate per 100,000 population"	10.49
Armenia	2016	"Total Sexual Violence at the national level, rate per 100,000"	4.019
Armenia	2017	"Intentional homicide rates per 100,000"	2.3771
Armenia	2017	"Percentage of male and female intentional homicide victims, Male"	4.2588
Armenia	2017	"Percentage of male and female intentional homicide victims, Female"	0.7054
Armenia	2017	"Assault rate per 100,000 population"	6.15
Armenia	2017	"Kidnapping at the national level, rate per 100,000"	1.189
Armenia	2017	"Robbery at the national level, rate per 100,000 population"	7.776
Armenia	2017	"Total Sexual Violence at the national level, rate per 100,000"	3.463
Aruba	2005	"Intentional homicide rates per 100,000"	5.9983
Aruba	2005	"Percentage of male and female intentional homicide victims, Male"	10.5099
Aruba	2005	"Percentage of male and female intentional homicide victims, Female"	1.9064
Aruba	2010	"Intentional homicide rates per 100,000"	3.9345
Aruba	2010	"Percentage of male and female intentional homicide victims, Male"	8.2534
Aruba	2010	"Percentage of male and female intentional homicide victims, Female"	0
Aruba	2014	"Intentional homicide rates per 100,000"	1.9272
Aruba	2014	"Percentage of male and female intentional homicide victims, Male"	4.0512
Aruba	2014	"Percentage of male and female intentional homicide victims, Female"	0
Australia	2005	"Intentional homicide rates per 100,000"	1.2835
Australia	2005	"Percentage of male and female intentional homicide victims, Male"	1.6349
Australia	2005	"Percentage of male and female intentional homicide victims, Female"	0.9335
Australia	2005	"Theft at the national level, rate per 100,000 population"	2568.69
Australia	2010	"Intentional homicide rates per 100,000"	1.0427
Australia	2010	"Percentage of male and female intentional homicide victims, Male"	1.2397
Australia	2010	"Percentage of male and female intentional homicide victims, Female"	0.8455
Australia	2010	"Assault rate per 100,000 population"	309.93
Australia	2010	"Kidnapping at the national level, rate per 100,000"	2.758
Australia	2010	"Theft at the national level, rate per 100,000 population"	2154.21
Australia	2010	"Robbery at the national level, rate per 100,000 population"	66.053
Australia	2010	"Total Sexual Violence at the national level, rate per 100,000"	85.137
Australia	2016	"Intentional homicide rates per 100,000"	0.9356
Australia	2016	"Percentage of male and female intentional homicide victims, Male"	1.2163
Australia	2016	"Percentage of male and female intentional homicide victims, Female"	0.657
Australia	2016	"Assault rate per 100,000 population"	292.57
Australia	2016	"Kidnapping at the national level, rate per 100,000"	2.213
Australia	2016	"Theft at the national level, rate per 100,000 population"	2445.57
Australia	2016	"Robbery at the national level, rate per 100,000 population"	38.792
Australia	2016	"Total Sexual Violence at the national level, rate per 100,000"	94.959
Australia	2017	"Intentional homicide rates per 100,000"	0.8257
Australia	2017	"Percentage of male and female intentional homicide victims, Male"	1.1573
Australia	2017	"Percentage of male and female intentional homicide victims, Female"	0.4967
Australia	2017	"Assault rate per 100,000 population"	296.78
Australia	2017	"Kidnapping at the national level, rate per 100,000"	1.961
Australia	2017	"Robbery at the national level, rate per 100,000 population"	39.044
Australia	2017	"Total Sexual Violence at the national level, rate per 100,000"	101.513
Austria	2005	"Intentional homicide rates per 100,000"	0.6543
Austria	2005	"Percentage of male and female intentional homicide victims, Male"	0.7433
Austria	2005	"Percentage of male and female intentional homicide victims, Female"	0.57
Austria	2005	"Assault rate per 100,000 population"	43.75
Austria	2005	"Kidnapping at the national level, rate per 100,000"	0.061
Austria	2005	"Theft at the national level, rate per 100,000 population"	2144.72
Austria	2005	"Total Sexual Violence at the national level, rate per 100,000"	20.281
Austria	2010	"Intentional homicide rates per 100,000"	0.6897
Austria	2010	"Percentage of male and female intentional homicide victims, Male"	0.6832
Austria	2010	"Percentage of male and female intentional homicide victims, Female"	0.6958
Austria	2010	"Assault rate per 100,000 population"	42.88
Austria	2010	"Kidnapping at the national level, rate per 100,000"	0.107
Austria	2010	"Theft at the national level, rate per 100,000 population"	1853.23
Austria	2010	"Robbery at the national level, rate per 100,000 population"	51.249
Austria	2010	"Total Sexual Violence at the national level, rate per 100,000"	39.239
Austria	2016	"Intentional homicide rates per 100,000"	0.6516
Austria	2016	"Percentage of male and female intentional homicide victims, Male"	0.583
Austria	2016	"Percentage of male and female intentional homicide victims, Female"	0.7176
Austria	2016	"Assault rate per 100,000 population"	37.64
Austria	2016	"Kidnapping at the national level, rate per 100,000"	0.023
Austria	2016	"Theft at the national level, rate per 100,000 population"	1640.92
Austria	2016	"Robbery at the national level, rate per 100,000 population"	35.475
Austria	2016	"Total Sexual Violence at the national level, rate per 100,000"	50.2
Austria	2017	"Intentional homicide rates per 100,000"	0.7937
Austria	2017	"Percentage of male and female intentional homicide victims, Male"	0.7621
Austria	2017	"Percentage of male and female intentional homicide victims, Female"	0.8241
Austria	2017	"Kidnapping at the national level, rate per 100,000"	0.034
Azerbaijan	2005	"Intentional homicide rates per 100,000"	2.2486
Azerbaijan	2005	"Assault rate per 100,000 population"	1.93
Azerbaijan	2005	"Kidnapping at the national level, rate per 100,000"	0.34
Azerbaijan	2005	"Theft at the national level, rate per 100,000 population"	25.19
Azerbaijan	2010	"Intentional homicide rates per 100,000"	2.2807
Azerbaijan	2010	"Percentage of male and female intentional homicide victims, Male"	3.2178
Azerbaijan	2010	"Percentage of male and female intentional homicide victims, Female"	1.3604
Azerbaijan	2010	"Assault rate per 100,000 population"	1.9
Azerbaijan	2010	"Kidnapping at the national level, rate per 100,000"	0.033
Azerbaijan	2010	"Theft at the national level, rate per 100,000 population"	42.83
Azerbaijan	2010	"Robbery at the national level, rate per 100,000 population"	3.255
Azerbaijan	2010	"Total Sexual Violence at the national level, rate per 100,000"	2.259
Azerbaijan	2016	"Intentional homicide rates per 100,000"	2.1364
Azerbaijan	2016	"Percentage of male and female intentional homicide victims, Male"	2.4748
Azerbaijan	2016	"Percentage of male and female intentional homicide victims, Female"	1.8007
Azerbaijan	2016	"Assault rate per 100,000 population"	3.42
Azerbaijan	2016	"Kidnapping at the national level, rate per 100,000"	0.062
Azerbaijan	2016	"Theft at the national level, rate per 100,000 population"	24.72
Azerbaijan	2016	"Robbery at the national level, rate per 100,000 population"	5.033
Azerbaijan	2016	"Total Sexual Violence at the national level, rate per 100,000"	1.078
Azerbaijan	2017	"Intentional homicide rates per 100,000"	2.0416
Azerbaijan	2017	"Percentage of male and female intentional homicide victims, Male"	2.5268
Azerbaijan	2017	"Percentage of male and female intentional homicide victims, Female"	1.5594
Azerbaijan	2017	"Assault rate per 100,000 population"	3.75
Azerbaijan	2017	"Kidnapping at the national level, rate per 100,000"	0.071
Azerbaijan	2017	"Robbery at the national level, rate per 100,000 population"	4.033
Azerbaijan	2017	"Total Sexual Violence at the national level, rate per 100,000"	1.249
Bahamas	2005	"Intentional homicide rates per 100,000"	16.0075
Bahamas	2005	"Percentage of male and female intentional homicide victims, Male"	27.8882
Bahamas	2005	"Percentage of male and female intentional homicide victims, Female"	4.7883
Bahamas	2005	"Kidnapping at the national level, rate per 100,000"	7.388
Bahamas	2005	"Theft at the national level, rate per 100,000 population"	446.15
Bahamas	2005	"Total Sexual Violence at the national level, rate per 100,000"	135.077
Bahamas	2010	"Intentional homicide rates per 100,000"	26.4836
Bahamas	2010	"Percentage of male and female intentional homicide victims, Male"	46.5097
Bahamas	2010	"Percentage of male and female intentional homicide victims, Female"	7.6532
Bahamas	2010	"Assault rate per 100,000 population"	862.82
Bahamas	2010	"Kidnapping at the national level, rate per 100,000"	5.071
Bahamas	2010	"Theft at the national level, rate per 100,000 population"	554.65
Bahamas	2010	"Robbery at the national level, rate per 100,000 population"	94.648
Bahamas	2010	"Total Sexual Violence at the national level, rate per 100,000"	87.042
Bahamas	2012	"Intentional homicide rates per 100,000"	30.5296
